tot_trajectories,return,normalized_auc
0,26.42280081073489,26.42280081073489
25,34.17902223038122,30.300911520558056
50,16.479742141664047,27.815146853290344
75,26.934311425463637,25.77910683004818
100,21.275990452858444,25.360617857326393
125,36.61088209387635,26.077181540534593
150,31.129504342001827,27.376016820102006
175,33.95551998771629,28.11408758363873
200,34.480031997599355,28.877048634766115
225,50.86540505256086,30.409900844801005
250,47.78031320970183,32.30119667343404
275,61.72233891478273,34.34211752696206
300,36.99773730112414,35.59361090871134
325,67.91882970758864,36.89089341606865
350,59.06940294474614,38.791123623932855
375,65.08702974095293,40.34359647186063
400,58.745837337426906,41.691898788568714
425,83.12371139107388,43.412067940079396
450,84.41878518069561,45.654244625957475
475,80.78248460243583,47.59879148204212
500,83.80357942043241,49.33350350851172
525,76.65159263503793,50.804650295141414
550,85.25996887573865,52.175156225152634
575,89.12606201090318,53.69767184333386
600,89.86311851871298,55.18921011089529
625,88.0041794312929,56.538987665459594
650,95.27738636919449,57.88905671295129
675,89.8535503883883,59.17336825613055
700,94.06775846927869,60.34434276229852
725,92.63874726863875,61.48258104183853
750,92.0460579483331,62.511241760726776
775,75.90834320709584,63.203692045145736
800,73.90600797046997,63.5694259058844
825,78.70001590686509,63.955292149302075
850,80.275971335565,64.41213631024068
875,92.0652560711429,65.03380709290107
900,93.56578264423891,65.80552132247857
925,94.8579532279168,66.57326042014341
950,93.9452058787382,67.30558460785878
975,92.33217716885136,67.96797196467766
1000,91.96071300868923,68.57243379277996
1025,93.54903059903158,69.16224935402583
1050,91.15264621023115,69.71435861713549
1075,94.9298109267495,70.25684396484141
1100,95.72713640933804,70.82665373082328
1125,96.46364088307907,71.3881811733874
1150,95.54307554840759,71.92329371778644
1175,96.9527791126504,72.44083911380224
1200,98.65585533708072,72.96924490778272
1225,98.25927842210857,73.48941474394216
1250,98.83442229993825,73.9905634562838
1275,97.48086320208155,74.46442775618038
1300,98.1892194274474,74.913862632307
1325,96.85159569637895,75.34040121588447
1350,99.33051113242081,75.76170958993106
1375,98.47584170270008,76.18246353225159
1400,99.3429516957585,76.58830162451905
